loc_rowid,discoverymethod,disc_year,disc_facility,pl_orbper,pl_rade,pl_radj,pl_bmasse,pl_bmassj,pl_dens,pl_eqt
3027,Transit,2014,Kepler,7.54425000,0.802,0.072,2.02000,0.00636,4.020000,1084
3028,Transit,2014,Kepler,11.32950000,0.868,0.077,2.11000,0.00664,3.330000,1215
3029,Transit,2014,Kepler,17.79003700,2.820,0.252,8.35000,0.02630,2.050000,655
3030,Transit,2014,Kepler,49.56741600,2.470,0.220,6.66000,0.02100,2.430000,465
3031,Transit,2016,Kepler,1.31184443,1.530,0.136,2.96000,0.00930,4.540000,1562
3032,Transit,2014,Kepler,23.63760400,3.110,0.277,9.85000,0.03100,1.800000,595
3033,Transit,2014,Kepler,67.09340800,3.250,0.290,10.60000,0.03340,1.700000,420
3034,Transit,2011,Kepler,3.69611525,1.868,0.167,9.70000,0.03052,8.200000,1105
3035,Transit,2011,Kepler,10.85409089,3.047,0.272,12.75000,0.04012,2.500000,772
3036,Transit,2011,Kepler,77.61130017,2.744,0.245,10.07000,0.03168,2.700000,401
3037,Transit,2011,Kepler,6.09852281,0.865,0.077,3.08000,0.01000,,1040
3038,Transit,2011,Kepler,19.57758478,1.003,0.089,14.30000,0.04500,,705
3039,Radial Velocity,2016,Multiple Observatories,34.94000000,4.710,0.420,19.96000,0.06280,1.050000,524
3040,Transit,2014,Kepler,8.59480500,2.130,0.190,5.18000,0.01630,2.950000,854
3041,Transit,2014,Kepler,10.22215700,1.590,0.142,3.15000,0.00993,4.310000,806
3042,Transit,2014,Kepler,25.67208300,2.460,0.219,6.62000,0.02080,2.440000,683
3043,Transit,2014,Kepler,151.88405800,2.850,0.254,8.50000,0.02670,2.020000,378
3044,Transit,2014,Kepler,4.06942700,1.630,0.145,3.29000,0.01040,4.170000,802
3045,Transit,2014,Kepler,16.28249300,1.850,0.165,4.08000,0.01280,3.540000,505
3046,Transit,2014,Kepler,3.16269700,2.570,0.229,7.13000,0.02240,2.310000,1308
3047,Transit,2014,Kepler,5.37064700,2.470,0.220,749.90000,2.36000,273.000000,1096
3048,Transit,2014,Kepler,11.32972000,1.440,0.128,33.90000,0.10700,62.400000,855
3049,Transit,2014,Kepler,14.40097400,2.530,0.226,6.94000,0.02180,2.350000,828
3050,Transit,2014,Kepler,25.66059300,1.790,0.160,3.86000,0.01210,3.700000,683
3051,Transit,2014,Kepler,2.75564000,1.510,0.135,2.89000,0.00909,4.610000,757
3052,Transit,2014,Kepler,20.30654600,1.640,0.146,3.33000,0.01050,4.150000,389
3053,Transit,2014,Kepler,7.78198700,1.200,0.107,1.87000,0.00588,5.950000,983
3054,Transit,2014,Kepler,13.13747100,1.770,0.158,3.78000,0.01190,3.750000,825
3055,Transit,2014,Kepler,23.44281000,1.190,0.106,1.81000,0.00570,5.900000,681
3056,Transit,2014,Kepler,1.61186500,1.570,0.140,3.09000,0.00972,4.390000,1930
3057,Transit,2014,Kepler,3.07157100,1.500,0.134,2.86000,0.00899,4.660000,1556
3058,Transit,2014,Kepler,5.86807500,3.310,0.295,11.00000,0.03450,1.670000,1254
3059,Transit,2014,Kepler,4.22864000,1.630,0.145,3.29000,0.01040,4.170000,1379
3060,Transit,2014,Kepler,7.46662300,1.390,0.124,2.51000,0.00790,5.140000,1141
3061,Transit,2014,Kepler,11.13178600,1.200,0.107,1.87000,0.00588,5.950000,999
3062,Transit,2014,Kepler,16.25945800,1.480,0.132,2.79000,0.00879,4.730000,880
3063,Transit,2014,Kepler,16.08784500,2.260,0.202,5.73000,0.01800,2.730000,668
3064,Transit,2014,Kepler,41.74988200,3.100,0.277,9.80000,0.03080,1.810000,486
3065,Transit,2012,Kepler,2.78578000,1.639,0.146,5.08000,0.01598,6.400000,2025
3066,Transit,2014,Kepler,2.45323400,2.940,0.262,8.96000,0.02820,1.940000,737
3067,Transit,2014,Kepler,7.97251300,3.620,0.323,12.80000,0.04010,1.480000,497
3068,Transit,2014,Kepler,4.13857500,1.260,0.112,2.13000,0.00669,5.850000,954
3069,Transit,2014,Kepler,6.04045000,1.290,0.115,18.30000,0.05800,46.800000,841
3070,Transit,2014,Kepler,16.25758200,1.090,0.097,1.32000,0.00416,5.600000,830
3071,Transit,2014,Kepler,31.80517400,2.740,0.244,7.95000,0.02500,2.120000,664
3072,Transit,2014,Kepler,2.46236000,1.620,0.145,3.26000,0.01020,4.210000,1326
3073,Transit,2014,Kepler,4.82296200,2.340,0.209,6.08000,0.01910,2.610000,1060
3074,Transit,2014,Kepler,15.66054400,2.610,0.233,7.32000,0.02300,2.260000,758
3075,Transit,2014,Kepler,28.77980000,2.130,0.190,5.18000,0.01630,2.950000,619
3076,Transit,2014,Kepler,9.36067200,1.620,0.145,3.26000,0.01020,4.210000,784
3077,Transit,2014,Kepler,14.66710800,1.770,0.158,3.78000,0.01190,3.750000,675
3078,Transit,2014,Kepler,30.86442300,2.390,0.213,23.60000,0.07400,9.500000,527
3079,Transit,2014,Kepler,68.16101000,1.750,0.156,3.71000,0.01170,3.800000,405
3080,Transit,2014,Kepler,7.69364100,2.350,0.210,6.12000,0.01930,2.590000,1069
3081,Transit,2014,Kepler,17.40666900,3.040,0.271,9.48000,0.02980,1.850000,814
3082,Transit,2014,Kepler,5.37494300,2.230,0.199,5.60000,0.01760,2.770000,1413
3083,Transit,2014,Kepler,8.58600400,1.850,0.165,4.08000,0.01280,3.540000,1208
3084,Transit,2016,Kepler,3.88689525,1.320,0.118,2.30000,0.00724,5.500000,1574
3085,Transit,2014,Kepler,3.61933700,1.480,0.132,2.79000,0.00879,4.730000,1156
3086,Transit,2014,Kepler,44.69957600,3.140,0.280,10.00000,0.03150,1.770000,500
3087,Transit,2016,Kepler,124.52446470,2.660,0.237,7.56000,0.02380,2.210000,356
3088,Transit,2014,Kepler,4.58551200,2.950,0.263,9.01000,0.02830,1.930000,1307
3089,Transit,2014,Kepler,22.71461300,3.580,0.319,12.50000,0.03940,1.500000,766
3090,Transit,2014,Kepler,47.90364500,2.810,0.251,19.10000,0.06000,4.730000,598
3091,Transit,2011,Kepler,289.86230000,2.380,0.212,36.00000,0.11300,14.700000,262
3092,Transit,2014,Kepler,4.15980700,0.810,0.072,0.45700,0.00144,4.730000,759
3093,Transit,2014,Kepler,9.03419900,1.570,0.140,3.09000,0.00972,4.390000,586
3094,Transit,2014,Kepler,28.12239700,0.980,0.087,0.90400,0.00284,5.280000,401
3095,Transit,2014,Kepler,45.90273300,1.330,0.119,2.33000,0.00733,5.440000,341
3096,Transit,2014,Kepler,2.79590600,1.710,0.153,3.57000,0.01120,3.920000,1090
3097,Transit,2014,Kepler,5.69058600,2.930,0.261,15.10000,0.04800,3.300000,860
3098,Transit,2014,Kepler,10.04156000,2.730,0.244,7.90000,0.02490,2.130000,712
3099,Transit,2014,Kepler,18.36991700,2.630,0.235,7.41000,0.02330,2.240000,582
3100,Transit,2014,Kepler,3.93698100,3.160,0.282,10.10000,0.03190,1.760000,1004
3101,Transit,2014,Kepler,10.08881000,4.640,0.414,19.40000,0.06120,1.070000,734
3102,Transit,2014,Kepler,28.08191200,3.690,0.329,13.20000,0.04150,1.440000,522
3103,Transit,2014,Kepler,7.38449000,2.990,0.267,7.40000,0.02328,1.540000,1042
3104,Transit,2014,Kepler,9.84564000,3.440,0.307,5.10000,0.01605,0.710000,947
3105,Transit,2014,Kepler,14.78869000,5.240,0.467,8.00000,0.02517,0.310000,827
3106,Transit,2014,Kepler,19.72567000,4.600,0.410,4.80000,0.01510,0.280000,751
3107,Transit,2014,Kepler,3.13292400,1.390,0.124,2.51000,0.00790,5.140000,937
3108,Transit,2014,Kepler,5.92500300,3.120,0.278,9.91000,0.03120,1.790000,758
3109,Transit,2014,Kepler,11.34939300,2.300,0.205,5.90000,0.01860,2.660000,610
3110,Transit,2014,Kepler,18.64357700,1.970,0.176,4.54000,0.01430,3.260000,517
3111,Transit,2014,Kepler,6.73897500,1.200,0.107,1.87000,0.00588,5.950000,579
3112,Transit,2014,Kepler,18.79423400,1.840,0.164,4.04000,0.01270,3.560000,412
3113,Transit,2014,Kepler,3.94099700,1.550,0.138,24.00000,0.07600,35.400000,1018
3114,Transit,2014,Kepler,5.34955500,2.270,0.203,45.20000,0.14200,21.200000,919
3115,Transit,2014,Kepler,8.10904400,1.220,0.109,1.98000,0.00624,5.990000,800
3116,Transit,2014,Kepler,9.48801500,3.110,0.277,9.85000,0.03100,1.800000,793
3117,Transit,2014,Kepler,54.41869400,3.040,0.271,9.48000,0.02980,1.850000,443
3118,Transit,2014,Kepler,2.56654600,1.530,0.136,2.96000,0.00930,4.540000,1360
3119,Transit,2014,Kepler,4.13444400,2.700,0.241,7.75000,0.02440,2.160000,1160
3120,Transit,2014,Kepler,11.09428600,4.040,0.360,15.40000,0.04830,1.280000,835
3121,Transit,2014,Kepler,6.25297200,2.200,0.196,5.48000,0.01720,2.830000,823
3122,Transit,2014,Kepler,16.06863800,4.920,0.439,21.50000,0.06760,0.992000,600
3123,Transit,2014,Kepler,41.19491200,3.850,0.343,14.20000,0.04450,1.370000,439
3124,Transit,2011,Kepler,7.10730000,1.900,0.170,254.30000,0.80000,,1157
3125,Transit,2011,Kepler,10.74210000,3.200,0.285,858.10000,2.70000,,1008
3126,Transit,2014,Kepler,15.27429900,2.200,0.196,17.60000,0.05500,9.080000,896
3127,Transit,2014,Kepler,32.62555500,4.260,0.380,16.80000,0.05290,1.190000,506
3128,Transit,2014,Kepler,91.77324200,2.040,0.182,4.82000,0.01520,3.120000,359
3129,Transit,2014,Kepler,10.06527500,1.730,0.154,35.40000,0.11100,37.600000,488
3130,Transit,2014,Kepler,19.27156600,1.930,0.172,24.10000,0.07600,18.400000,393
3131,Transit,2014,Kepler,4.43122200,3.080,0.275,9.69000,0.03050,1.820000,1104
3132,Transit,2014,Kepler,11.37934900,3.830,0.342,14.00000,0.04420,1.370000,806
3133,Transit,2014,Kepler,8.47238200,2.430,0.217,6.48000,0.02040,2.480000,751
3134,Transit,2014,Kepler,60.41895500,2.710,0.242,7.80000,0.02450,2.150000,390
3135,Transit,2014,Kepler,2.71150600,3.700,0.330,13.20000,0.04160,1.430000,1420
3136,Transit,2014,Kepler,7.21205000,3.510,0.313,12.10000,0.03810,1.540000,1025
3137,Transit,2014,Kepler,3.34022200,2.230,0.199,5.60000,0.01760,2.770000,731
3138,Transit,2014,Kepler,7.82490400,1.280,0.114,2.18000,0.00687,5.710000,555
3139,Transit,2014,Kepler,20.06054800,2.050,0.183,4.86000,0.01530,3.100000,401
3140,Transit,2014,Kepler,46.18366900,2.220,0.198,5.56000,0.01750,2.790000,306
3141,Transit,2014,Kepler,8.29561100,1.570,0.140,3.09000,0.00972,4.390000,469
3142,Transit,2014,Kepler,23.96812700,2.000,0.178,4.66000,0.01470,3.200000,329
3143,Transit,2014,Kepler,4.71510600,1.410,0.126,2.57000,0.00809,5.040000,823
3144,Transit,2014,Kepler,8.10363600,2.080,0.186,4.98000,0.01570,3.040000,687
3145,Transit,2014,Kepler,2.09087600,1.730,0.154,3.64000,0.01150,3.860000,1642
3146,Transit,2014,Kepler,6.15555700,2.390,0.213,6.30000,0.01980,2.540000,1146
3147,Transit,2014,Kepler,13.23354900,3.070,0.274,9.64000,0.03030,1.830000,888
3148,Transit,2013,Kepler,23.65400000,5.600,0.500,169.70000,0.53400,5.310000,731
3149,Transit,2013,Kepler,50.44700000,2.000,0.178,13.50000,0.04200,9.270000,568
3150,Transit,2014,Kepler,11.76305100,2.330,0.208,6.04000,0.01900,2.620000,616
3151,Transit,2014,Kepler,56.22809800,2.510,0.224,6.85000,0.02150,2.380000,366
3152,Transit,2011,Kepler,8.14530000,2.400,0.214,508.50000,1.60000,,1050
3153,Transit,2011,Kepler,12.33350000,2.800,0.250,508.50000,1.60000,,915
3154,Transit,2014,Kepler,4.24438400,1.670,0.149,3.43000,0.01080,4.050000,1305
3155,Transit,2014,Kepler,18.99835500,2.780,0.248,8.15000,0.02560,2.080000,792
3156,Transit,2014,Kepler,4.14449500,1.370,0.122,2.45000,0.00771,5.240000,864
3157,Transit,2014,Kepler,7.95352800,2.200,0.196,102.30000,0.32200,52.800000,696
3158,Transit,2014,Kepler,12.71809200,2.330,0.208,6.04000,0.01900,2.620000,562
3159,Transit,2014,Kepler,36.06597800,2.570,0.229,7.13000,0.02240,2.310000,397
3160,Transit,2014,Kepler,8.20395000,2.610,0.233,7.32000,0.02300,2.260000,742
3161,Transit,2014,Kepler,14.49648100,2.000,0.178,4.66000,0.01470,3.200000,613
3162,Transit,2014,Kepler,5.71544200,2.450,0.219,6.57000,0.02070,2.450000,850
3163,Transit,2014,Kepler,20.02621800,1.990,0.178,4.62000,0.01450,3.220000,559
